name,contact,location,submission_deadline,status,start_date,end_date,last_updated,source
Finance at a Time of Change and Uncertainty — Journal of Corporate Finance & Renmin University of China Conference,https://editorialexpress.com/conference/JCFCChina2026,"Beijing, China",2026-08-09,Submission,2026-12-11,2026-12-12,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
"MIT GCFP Annual Conference | ""Financial Regulation in an Era of Innovation and Disruption""",https://gcfp.mit.edu,"Cambridge, MA",2026-07-17,Submission,2026-10-29,2026-10-30,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
EUROFIDAI-ESSEC Paris December Finance Meeting,https://www.paris-december.eu,"Paris, France",2026-05-31,Participation,2026-12-17,2026-12-17,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
CHICAGO FED/UNIVERSITY OF CHICAGO CONFERENCE ON MUNICIPAL BOND MARKETS,chi.muni.finance@chi.frb.org,"Chicago, IL",2026-06-01,Participation,2026-09-29,2026-09-30,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
SFS Cavalcade Asia-Pacific,https://www.conftool.com/sfs-cavalcade-asia-pacific-2026,"Hong Kong, China",2026-06-30,Submission,2026-12-07,2026-12-09,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
CLIMATE FINANCE & POLICY (CFP),https://cfp2026.sciencesconf.org/submission/submit,"Bari, Italy",2026-07-31,Submission,2026-10-08,2026-10-09,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
The Australasian Finance and Banking Conference,https://www.unsw.edu.au/business/our-schools/banking-finance/seminars-workshops/australasian-finance-banking-conference,"Sydney, Australia",2026-08-10,Submission,2026-12-10,2026-12-12,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
Financial Economics Meeting (FEM),https://fem2026.sciencesconf.org/,"Paris, France",2026-09-30,Submission,2026-12-14,2026-12-16,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
ABFER-JFDS Conference on AI for Finance,ai4f@ustc.edu.cn,"Hefei, China",2026-06-30,Submission,2026-08-18,2026-08-19,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
International Conference in Banking and Financial Studies (ICBFS),https://icbfs2026.sciencesconf.org/,"Parma, Italy",2026-06-30,Submission,2026-09-10,2026-09-11,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
The CUHK-RAPS-RCFS Conference on Asset Pricing and Corporate Finance,https://cloud.itsc.cuhk.edu.hk/webform/view.php?id=13734007,"Hong Kong, China",2026-08-15,Submission,2026-12-13,2026-12-15,2026-06-07T02:03:01Z,email:<CAAmusDJm4Bhj8SOuYzs6e8XLQ33-LVGMRq4gav183qzVEfyT8w@mail.gmail.com>
Colorado Finance Summit,https://www.coloradofinancesummit.com,"Vail, CO",2026-07-01,Submission,2026-12-10,2026-12-13,2026-06-07T02:03:01Z,email:<DM6PR01MB586695F54A00EA1A53F8A30B8F1F2@DM6PR01MB5866.prod.exchangelabs.com>
