name,url,last_checked
Fixed Income and Financial Institutions Conference,fifi@moore.sc.edu,
Singapore Management University Accounting Symposium,https://accountancy.smu.edu.sg/research/academic-research/seminars-and-conferences/accounting-symposium,
HKUST Accounting Research Symposium,https://acct.hkust.edu.hk/research/research-symposium,
Colorado Summer Accounting Conference,https://acctgresearchconf.colorado.edu/,
Labs International Banking Workshop,https://bankslab.hse.ru/en/bankworkshop,
Haskell & White Corporate Reporting and Governance Conference,https://business.fullerton.edu/engagement/corporate-reporting-and-governance,
J.P. Morgan Center International Commodities Symposium,https://business.ucdenver.edu/jpmorgancenter/jp-morgan-center-commodities-research,
University of Oregon Summer Finance Conference,https://business.uoregon.edu/faculty/departments/finance/conference,
CEIBS-APS Centre for Financial Markets Academic Conference,https://cac.ceibs.edu.cn/,
Canadian Derivatives Institute Conference,https://cdi-icd.org/en/annual-conference/,
Hong Kong Conference on Fintech and AI in Finance,https://cityuhkfintech.com/,
Conference on Corporate Policies and Asset Prices,https://coapfinance.com/,
Duke-Unc Asset Pricing Conference,https://conferences.fuqua.duke.edu/assetpricing/,
Duke Corporate Finance Conference,https://conferences.fuqua.duke.edu/corpfinance/,
Eastern Finance Association Meeting,https://easternfinance.org/,
Emerging Markets Conference,https://emergingmarketsconference.org/submission,
European Winter Finance Conference,https://europeanwinterfinanceconference.wordpress.com,
Finance and Business Analytics Conference,https://fba-conference.com/,
Finance Down Under: Building on the Best from the Cellars of Finance,https://fbe.unimelb.edu.au/conferences/fdu,
Financial Decision-Making Conference,https://fdmconference.pages.dev/,
USTC Frontiers in Finance Conference,https://ffcconf.org/,
University of Connecticut Finance Conference,https://finance.business.uconn.edu/finance-conference/,
Asu Sonoran Winter Finance Conference,https://finance-conference.wpcarey.asu.edu/,
Firs Conference,https://firsociety.org/conference/,
Financial Research Association Annual Meeting,https://fraconference.com/,
Future of Financial Information Conference,https://futfin.info/conference/,
University of Kentucky Finance Conference,https://gatton.uky.edu/financeconference,
MIT GCFP Annual Conference,https://gcfp.mit.edu,
Hanyang Accounting Research Symposium,https://hanyanghars.com/,
Private Markets Research Conference,https://housefinance.dauphine.fr/fr/conferences-de-recherche/annual-private-markets-research-conference.html,
Jackson Hole Finance Group Conference,https://jhfinance.web.unc.edu/,
UT Dallas Finance Conference,https://jindal.utdallas.edu/finance-conference/,
Review of Accounting Studies Conference,https://link.springer.com/journal/11142/updates,
Hawai‘I Accounting Research Conference,https://manoa.hawaii.edu/harc/,
Young Scholars Finance Consortium,https://mays.tamu.edu/departments/finance/young-finance-scholars-consortium/,
Modern Finance Conference,https://mf-conference.com/,
Northern Finance Association Annual Meeting,https://northernfinanceassociation.org/conference/,
Swiss Accounting Research Alpine Camp (SARAC),https://sarac-conference.ch/,
Santiago Finance Workshop,https://sfw.unegocios.cl/,
Bristol Financial Markets Conference,https://sites.google.com/view/fmrg-bristol,
Aarhus Workshop on Strategic Interaction in Corporate Finance,https://sites.google.com/view/hirth-dk/workshops,
Bristol Workshop on Banking and Financial Intermediation,https://sites.google.com/view/uob-banking-group/,
Vienna Festival of Finance Theory,https://sites.google.com/view/vienna-festival-of-finance/startseite,
UNC Tax Symposium,https://tax.unc.edu/events/,
Contemporary Issues in Financial Markets and Banking Online Conference,https://thefinancialreview.org/conferences/,
Utah Winter Accounting Conference,https://utah-wac.org/,
Utah Winter Finance Conference,https://utahwfc.org/,
Western Finance Association Annual Meeting,https://westernfinance.org/,
Wharton Conference on Liquidity and Financial Fragility,https://wifpr.wharton.upenn.edu/wharton-liquidity-conference/,
Accounting and Economics Society Annual Congress,https://www.accountingtheory.org/,
Adam Smith Workshops,https://www.adamsmithworkshop.com/,
International Behavioral Finance Conference,https://www.behaviouralfinance.org/,
Federal Reserve Stress Testing Research Conference,https://www.bostonfed.org/news-and-events/events#/search,
Bretton Woods Accounting and Finance Ski Conference,https://www.brettonwoodsskiconference.com/,
Contemporary Accounting Research Conference,https://www.caaa.ca/journals-and-research/contemporary-accounting-research-car,
CityUHK-CJAR Joint Accounting Research Conference,https://www.cb.cityu.edu.hk/research/cjar/,
Journal of Accounting Research Conference,https://www.chicagobooth.edu/research/chookaszian/journal-of-accounting-research/call-for-papers,
Financial Stability Conference,https://www.clevelandfed.org/events/financial-stability-conference,
Boulder Summer Conference on Consumer Financial Decision Making,https://www.colorado.edu/business/centers/center-research-consumer-financial-decision-making/boulder-summer-conference,
Colorado Finance Summit,https://www.coloradofinancesummit.com,
JAE Conference,https://www.editorialmanager.com/JACEC/,
EFMA Annual Meeting,https://www.efmaefm.org/,
FMA Annual Meeting,https://www.fma.org/,
Itam Finance Conference,https://www.itamfin.com/,
"Arne Ryde Conference on Crypto, Fintech and Payments",https://www.lusem.lu.se/calendar/arne-ryde-conference-crypto-fintech-and-payments,
Forensic Finance Conference,https://www.mccombs.utexas.edu/faculty-research/departments/finance/forensic-finance-conference/,
Texas Finance Festival,https://www.mccombs.utexas.edu/faculty-research/departments/finance/texas-finance-festival/,
EUROFIDAI-ESSEC Paris December Finance Meeting,https://www.paris-december.eu,
Research in Behavioral Finance Conference,https://www.rbfc.eu/,
Ubc Winter Finance Conference,https://www.sauder.ubc.ca/thought-leadership/divisions/finance/conferences,
Australasian Finance and Banking Conference,https://www.unsw.edu.au/business/our-schools/banking-finance/seminars-workshops/australasian-finance-banking-conference,
Villanova Mid-Atlantic Research Conference in Finance,https://www.villanova.edu/university/business/faculty-and-research/academic-departments/finance-real-estate/marc.html,
World Symposium on Investment Research,https://www.wsir.org/,
